id_000001	genome_1903704_rplT
id_000002	genome_1903704_rpsR
id_000003	genome_1903704_rplK
id_000004	genome_1903704_rplA
id_000005	genome_1903704_rplL
id_000006	genome_1903704_rpsL
id_000007	genome_1903704_rpsG
id_000008	genome_1903704_rpsJ
id_000009	genome_1903704_rplC
id_000010	genome_1903704_rplD
id_000011	genome_1903704_rplW
id_000012	genome_1903704_rplB
id_000013	genome_1903704_rpsS
id_000014	genome_1903704_rplV
id_000015	genome_1903704_rpsC
id_000016	genome_1903704_rplP
id_000017	genome_1903704_rpsQ
id_000018	genome_1903704_rplN
id_000019	genome_1903704_rplX
id_000020	genome_1903704_rplE
id_000021	genome_1903704_rpsH
id_000022	genome_1903704_rplF
id_000023	genome_1903704_rplR
id_000024	genome_1903704_rpsE
id_000025	genome_1903704_rplO
id_000026	genome_1903704_rpsM
id_000027	genome_1903704_rpsK
id_000028	genome_1903704_rplQ
id_000029	genome_1903704_rplM
id_000030	genome_1903704_rpsI
id_000031	genome_1903704_rpsT
id_000032	genome_1903704_rpsU
id_000033	genome_1903704_rpmB
id_000034	genome_1903704_rpsP
id_000035	genome_1903704_rplS
id_000036	genome_1903704_rpsB
id_000037	genome_1903704_rpsO
id_000038	genome_1903704_rplU
id_000039	genome_1424294_rplS
id_000040	genome_1424294_rpsP
id_000041	genome_1424294_rpmB
id_000042	genome_1424294_rpsU
id_000043	genome_1424294_rpsT
id_000044	genome_1424294_rplU
id_000045	genome_1424294_rplT
id_000046	genome_1424294_rpsR
id_000047	genome_1424294_rpsF
id_000048	genome_1424294_rpsB
id_000049	genome_1424294_rpsO
id_000050	genome_1424294_rplK
id_000051	genome_1424294_rplA
id_000052	genome_1424294_rplL
id_000053	genome_1424294_rpsL
id_000054	genome_1424294_rpsG
id_000055	genome_1424294_rpsJ
id_000056	genome_1424294_rplC
id_000057	genome_1424294_rplD
id_000058	genome_1424294_rplW
id_000059	genome_1424294_rplB
id_000060	genome_1424294_rpsS
id_000061	genome_1424294_rplV
id_000062	genome_1424294_rplP
id_000063	genome_1424294_rpsQ
id_000064	genome_1424294_rplN
id_000065	genome_1424294_rplX
id_000066	genome_1424294_rplE
id_000067	genome_1424294_rpsH
id_000068	genome_1424294_rplF
id_000069	genome_1424294_rplR
id_000070	genome_1424294_rpsE
id_000071	genome_1424294_rplO
id_000072	genome_1424294_rpsM
id_000073	genome_1424294_rpsK
id_000074	genome_1424294_rplQ
id_000075	genome_1424294_rplM
id_000076	genome_1424294_rpsI
id_000077	genome_1198676_rpmB
id_000078	genome_1198676_rpsO
id_000079	genome_1198676_rplM
id_000080	genome_1198676_rpsI
id_000081	genome_1198676_rpsL
id_000082	genome_1198676_rpsG
id_000083	genome_1198676_rplT
id_000084	genome_1198676_rpsU
id_000085	genome_1198676_rplU
id_000086	genome_1198676_rpsP
id_000087	genome_1198676_rplL
id_000088	genome_1198676_rpsT
id_000089	genome_1198676_rpsA
id_000090	genome_1198676_rplS
id_000091	genome_1198676_rplA
id_000092	genome_1198676_rplK
id_000093	genome_1198676_rpsR
id_000094	genome_1198676_rpsF
id_000095	genome_1198676_rplQ
id_000096	genome_1198676_rpsK
id_000097	genome_1198676_rpsM
id_000098	genome_1198676_rplO
id_000099	genome_1198676_rpsE
id_000100	genome_1198676_rplR
id_000101	genome_1198676_rplF
id_000102	genome_1198676_rpsH
id_000103	genome_1198676_rplE
id_000104	genome_1198676_rplX
id_000105	genome_1198676_rplN
id_000106	genome_1198676_rpsQ
id_000107	genome_1198676_rplP
id_000108	genome_1198676_rpsC
id_000109	genome_1198676_rplV
id_000110	genome_1198676_rpsS
id_000111	genome_1198676_rplB
id_000112	genome_1198676_rplW
id_000113	genome_1198676_rplD
id_000114	genome_1198676_rplC
id_000115	genome_1198676_rpsJ
id_000116	genome_1198676_rpsB
id_000117	genome_1198676_rpsD
id_000118	genome_617123_rpsP
id_000119	genome_617123_rpsT
id_000120	genome_617123_rpsF
id_000121	genome_617123_rpmB
id_000122	genome_617123_rplA
id_000123	genome_617123_rpsU
id_000124	genome_617123_rplQ
id_000125	genome_617123_rplL
id_000126	genome_649756_rpsI
id_000127	genome_649756_rplM
id_000128	genome_649756_rplO
id_000129	genome_649756_rpsE
id_000130	genome_649756_rplR
id_000131	genome_649756_rplF
id_000132	genome_649756_rpsH
id_000133	genome_649756_rplE
id_000134	genome_649756_rplU
id_000135	genome_649756_rpsU
id_000136	genome_649756_rplS
id_000137	genome_649756_rplT
id_000138	genome_649756_rpsD
id_000139	genome_649756_rpsK
